9/28/2021 	 5:02:57 PM 
 Current Sensitivity 	 1.000000E-7 
 This file comes from It only measurement 	 0.000000E+0 
 Sampling rate 	 1000 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	 Current 	 Filtered Current 	 
	0.581005	8.335116E-11
	0.582005	1.893761E-11
	0.583005	-1.326917E-11
	0.584005	1.893761E-11
	0.585005	1.893761E-11
	0.586005	-1.326917E-11
	0.587005	-1.326917E-11
	0.588005	-1.326917E-11
	0.589005	-1.326917E-11
	0.590005	-4.547595E-11
	0.591005	-1.326917E-11
	0.592005	1.893761E-11
	0.593005	-1.326917E-11
	0.594005	1.893761E-11
	0.595005	-1.326917E-11
	0.596005	5.114438E-11
	0.597005	-1.326917E-11
	0.598005	1.893761E-11
	0.599005	1.893761E-11
	0.600005	1.893761E-11
	0.601005	1.893761E-11
	0.602005	-1.326917E-11
	0.603005	1.893761E-11
	0.604005	-1.326917E-11
	0.605005	1.893761E-11
	0.606005	-1.326917E-11
	0.607005	1.893761E-11
	0.608005	-1.326917E-11
	0.609005	5.114438E-11
	0.610005	-1.326917E-11
	0.611005	5.114438E-11
	0.612005	1.893761E-11
	0.613005	5.114438E-11
	0.614005	1.893761E-11
	0.615005	-1.326917E-11
	0.616005	-1.326917E-11
	0.617005	-1.326917E-11
	0.618005	-1.326917E-11
	0.619005	-1.326917E-11
	0.620005	1.893761E-11
	0.621005	5.114438E-11
	0.622005	1.893761E-11
	0.623005	1.893761E-11
	0.624005	1.893761E-11
	0.625005	-4.547595E-11
	0.626005	-1.326917E-11
	0.627005	1.893761E-11
	0.628005	-1.326917E-11
	0.629005	5.114438E-11
	0.630005	-4.547595E-11
	0.631005	-1.326917E-11
	0.632005	1.893761E-11
	0.633005	-1.326917E-11
	0.634005	1.893761E-11
	0.635005	1.893761E-11
	0.636005	1.893761E-11
	0.637005	1.893761E-11
	0.638005	1.893761E-11
	0.639005	-1.326917E-11
	0.640005	-1.326917E-11
	0.641005	-4.547595E-11
	0.642005	-1.326917E-11
	0.643005	1.893761E-11
	0.644005	5.114438E-11
	0.645005	-1.326917E-11
	0.646005	1.893761E-11
	0.647005	-1.326917E-11
	0.648005	1.893761E-11
	0.649005	8.335116E-11
	0.650005	-1.326917E-11
	0.651005	-1.326917E-11
	0.652005	1.893761E-11
	0.653005	8.335116E-11
	0.654005	1.893761E-11
	0.655005	1.893761E-11
	0.656005	1.893761E-11
	0.657005	1.893761E-11
	0.658005	5.114438E-11
	0.659005	-1.326917E-11
	0.660005	-4.547595E-11
	0.661005	-1.326917E-11
	0.662005	-4.547595E-11
	0.663005	-1.326917E-11
	0.664005	1.893761E-11
	0.665005	1.893761E-11
	0.666005	-1.326917E-11
	0.667005	5.114438E-11
	0.668005	-4.547595E-11
	0.669005	1.893761E-11
	0.670005	-1.326917E-11
	0.671005	-1.326917E-11
	0.672005	-1.326917E-11
	0.673005	1.893761E-11
	0.674005	1.893761E-11
	0.675005	-1.326917E-11
	0.676005	-1.326917E-11
	0.677005	1.893761E-11
	0.678005	1.893761E-11
	0.679005	1.893761E-11
	0.680005	1.893761E-11
	0.681005	-1.326917E-11
	0.682005	1.893761E-11
	0.683005	1.893761E-11
	0.684005	1.893761E-11
	0.685005	1.893761E-11
	0.686005	1.893761E-11
	0.687005	1.893761E-11
	0.688005	1.893761E-11
	0.689005	-1.326917E-11
	0.690005	-4.547595E-11
